Student_ID,Study_Hours_Per_Week,Quiz_Score,Assignments_Submitted,Attendance_Percentage,Previous_Grades,Recommended_Study_Material
138,13.4,81.6,7,90,70.6,Advanced Topics
139,19.1,74.6,0,100,72.3,Advanced Topics
140,8.8,89.4,8,78.7,90.4,Advanced Topics
141,16.1,78.6,0,79.6,88.5,Advanced Topics
142,21.5,54.9,3,98.3,71.2,Intermediate Practice
143,7,44.2,9,74.1,78.9,Basic Concepts
144,15.9,74.7,3,93.6,74.9,Advanced Topics
145,16.3,62.1,8,88.8,90.9,Intermediate Practice
146,18.9,55.3,0,96.4,71.1,Intermediate Practice
147,8.8,51,9,83.7,82.8,Time Management & Practice
148,8.4,72.4,8,100,100,Advanced Topics
149,17.6,92.6,3,81.2,75.4,Advanced Topics
150,16.5,63.9,6,70.3,61.9,Intermediate Practice
151,16.3,78.9,8,69.6,62.5,Advanced Topics
152,16.7,68.5,6,74.1,58,Intermediate Practice
153,11.6,50.7,1,91.8,80.5,Intermediate Practice
154,16.2,81,5,77.5,74.5,Advanced Topics
155,16.5,53.6,5,84.8,63.7,Intermediate Practice
156,11.4,70.3,2,85.9,92.2,Advanced Topics
157,24.3,64.9,3,77.3,63.2,Intermediate Practice
158,17.4,83.4,5,86.6,70.5,Advanced Topics
159,9,54.1,5,94.4,57.4,Time Management & Practice
160,18.3,75.9,0,85.4,67.5,Advanced Topics
161,10.1,57.4,9,94.2,57.1,Intermediate Practice
162,18.9,62.3,7,81.2,67.5,Intermediate Practice
163,20.8,15.5,8,87.7,53.4,Basic Concepts
164,10.9,100,1,86,61.4,Advanced Topics
165,19.8,78.3,3,95.7,58.4,Advanced Topics
166,17.1,58.5,5,89.2,59.2,Intermediate Practice
167,19.1,53.1,1,78.6,55.5,Intermediate Practice
168,24.5,62.6,6,89.9,63.9,Intermediate Practice
169,13.8,80.8,5,75.4,31.2,Advanced Topics
170,11.2,41.6,7,89,79,Basic Concepts
171,10.6,67.9,6,84.7,73.1,Intermediate Practice
172,10.9,96.6,9,86.5,73.3,Advanced Topics
173,14.6,53,0,84.6,66.2,Intermediate Practice
174,16.7,71.2,9,78.9,87.6,Advanced Topics
175,16.4,100,9,77.7,58,Advanced Topics
176,19.1,79.5,4,95.8,43.2,Advanced Topics
177,15.1,71.9,5,100,72.6,Advanced Topics
178,22.3,77.6,6,87.7,97.2,Advanced Topics
179,13.7,64,3,85.3,90.2,Intermediate Practice
180,28.6,89.5,8,72.7,82.3,Advanced Topics
181,18.1,64,0,67.4,100,Intermediate Practice
182,10.7,40.6,2,68.9,62.4,Basic Concepts
183,9.6,64.1,9,90.3,61.6,Time Management & Practice
184,17.4,55.5,1,67.2,64.6,Intermediate Practice
185,13.9,65.8,1,91.6,31,Intermediate Practice
186,18.6,66.1,0,74,90.3,Intermediate Practice
187,17.4,88,2,86.6,68.4,Advanced Topics
188,14.6,80.4,9,80.9,58.9,Advanced Topics
189,10.8,73.9,4,74.4,65.3,Advanced Topics
190,7.4,70,5,71.2,54,Advanced Topics
191,12.8,54.1,7,67.8,69,Intermediate Practice
192,19.3,37.3,3,74.2,60.5,Basic Concepts
193,16.1,71.7,0,100,61.2,Advanced Topics
194,8.8,81.9,8,98,54.9,Advanced Topics
195,15.9,68.4,2,86.8,68.7,Intermediate Practice
196,16.9,62,7,81.3,60.5,Intermediate Practice
197,10.6,77,3,79.1,88.4,Advanced Topics
198,15.8,68.8,2,86.1,76.1,Intermediate Practice
199,15.3,95.3,2,79.3,48.4,Advanced Topics
200,9.3,88.5,3,79.2,77.2,Advanced Topics
201,16.8,84.4,3,89.9,73.1,Advanced Topics
202,17.8,81.4,6,74.9,69.1,Advanced Topics
203,20.4,50.6,1,60.2,65.6,Intermediate Practice
204,20.3,79.9,7,79.2,85.6,Advanced Topics
205,8.1,75.6,1,99.5,51.4,Advanced Topics
206,10.3,79.1,0,68.7,67,Advanced Topics
207,17.6,77.4,7,72.6,42.9,Advanced Topics
208,17.6,76.8,3,78.6,76,Advanced Topics
209,17.6,100,5,69,67,Advanced Topics
210,34.3,68.9,0,100,53.3,Intermediate Practice
211,17.9,84,2,86,70.8,Advanced Topics
212,20.7,62.9,6,67.2,88.5,Intermediate Practice
213,19.8,81.9,6,83.7,69.7,Advanced Topics
214,18.3,84.1,7,84.6,44.4,Advanced Topics
215,13.4,75.5,1,82.6,67.7,Advanced Topics
216,18.8,95,6,83.3,72.4,Advanced Topics
217,11.1,56.7,3,83.7,57.6,Intermediate Practice
218,13.8,62.7,5,88.1,100,Intermediate Practice
219,12.6,73.2,3,88.7,46.3,Advanced Topics
220,15.4,83.2,8,70,29.9,Advanced Topics
221,26.6,72.7,0,85.6,53.9,Advanced Topics
222,5.7,89.3,0,86.8,38.8,Advanced Topics
223,18.4,60.1,4,78.9,82.2,Intermediate Practice
224,6.9,52.9,4,100,83.9,Time Management & Practice
225,12.6,74.6,7,84.2,43.8,Advanced Topics
226,20.4,68.8,6,90,51.7,Intermediate Practice
227,15.3,78.1,2,80.5,49.8,Advanced Topics
228,9.6,69.6,7,82,67.7,Time Management & Practice
229,11.4,64.9,3,88.4,75.1,Intermediate Practice
230,18.4,68.9,2,71.2,90.4,Intermediate Practice
231,11.3,70.4,1,92.5,74.4,Advanced Topics
232,16.1,65.4,8,72.7,62.9,Intermediate Practice
233,15.2,67,6,93.8,62.3,Intermediate Practice
234,11.7,63.9,4,82.3,69.5,Intermediate Practice
235,25.7,82.8,8,100,70.4,Advanced Topics
236,18.2,72.9,2,94.8,66.2,Advanced Topics
237,4.9,100,5,94.9,69.5,Advanced Topics
238,15.9,72.4,7,86.4,67.6,Advanced Topics
239,11.7,61.7,8,95.1,46.2,Intermediate Practice
240,19.3,100,3,92.6,70.2,Advanced Topics
241,11,76.2,0,65.6,54.9,Advanced Topics
242,14.4,84.9,7,76.3,71.1,Advanced Topics
243,17.5,78.9,9,75.7,75.3,Advanced Topics
244,19.3,79.3,2,77.2,85.7,Advanced Topics
245,9,78,5,82.4,67.5,Advanced Topics
246,13.3,53.5,3,90.2,58.4,Intermediate Practice
247,12.6,75.5,5,96.7,80.7,Advanced Topics
248,11.7,50.1,2,91.1,69,Intermediate Practice
249,23.8,67.4,6,97.4,97.5,Intermediate Practice
250,17,59.1,1,74.4,46.7,Intermediate Practice
251,8.7,75.4,4,80,59.3,Advanced Topics
252,19.6,75,2,82.4,57.3,Advanced Topics
253,25.6,77.2,4,78.3,95.7,Advanced Topics
254,20.2,74.3,2,73.8,74.8,Advanced Topics
255,7.4,60.9,8,88.9,39.9,Time Management & Practice
256,12.6,66.1,7,78,41.1,Intermediate Practice
257,21.3,83.8,1,93.1,80.9,Advanced Topics
258,11.5,86,7,72.8,52.1,Advanced Topics
259,17.2,52.8,7,93.6,68.1,Intermediate Practice
260,18.9,47,9,87.1,64.9,Basic Concepts
261,10.4,59.1,2,87.2,97.7,Intermediate Practice
262,14.7,85.7,9,87.4,64.4,Advanced Topics
263,0,88.2,4,84.2,61.7,Advanced Topics
264,9.9,56.1,1,84.4,76.5,Time Management & Practice
265,13.7,74.6,9,82.3,84.7,Advanced Topics
266,8.8,97.5,5,88,69.8,Advanced Topics
267,23.2,76.2,1,90.5,33.6,Advanced Topics
268,7.8,91.3,3,80.5,80.1,Advanced Topics
269,12.8,85,2,98.9,47.6,Advanced Topics
270,15.7,56.3,0,81.3,45,Intermediate Practice
271,22.2,67.2,7,78,60.6,Intermediate Practice
272,7.8,70.5,7,83.5,69.9,Advanced Topics
273,20.8,71.6,0,77.3,89.9,Advanced Topics
274,15.1,83.7,5,89.7,37.4,Advanced Topics
275,10.1,76.1,0,83.6,70.3,Advanced Topics
276,17.3,26,8,92.3,90.2,Basic Concepts
277,16,50.3,0,84.4,66.5,Intermediate Practice
278,12,37.2,2,84.1,79.6,Basic Concepts
279,15.3,72.6,8,80.9,78.3,Advanced Topics
280,13.1,73.6,0,93.3,59.5,Advanced Topics
281,15.6,74.2,1,82.6,77.1,Advanced Topics
282,18.3,55.6,3,87.6,69.8,Intermediate Practice
283,22.9,80.1,6,95.5,63.2,Advanced Topics
284,8.8,80.7,7,84.1,91.9,Advanced Topics
285,25.7,51.2,0,84,65.4,Intermediate Practice
286,5.2,48,0,82.7,90.7,Basic Concepts
287,14.2,70,4,86.9,62.9,Advanced Topics
288,17.9,96.9,7,93.1,66.1,Advanced Topics
289,16.4,95.5,0,92.8,64.5,Advanced Topics
290,11.9,78.5,2,89.9,83.7,Advanced Topics
291,14,59.1,5,97.1,55,Intermediate Practice
292,12.5,83.3,0,85.8,74.9,Advanced Topics
293,12.1,63.2,2,99,73.9,Intermediate Practice
294,19.2,58.5,0,95.5,74,Intermediate Practice
295,16.8,37.8,3,78.5,98.7,Basic Concepts
296,11.5,71.5,8,92.9,64.8,Advanced Topics
297,19.5,60.6,4,66.4,100,Intermediate Practice
298,16.5,71.4,2,97,84.8,Advanced Topics
299,19.1,35.5,9,84.3,46.3,Basic Concepts
300,18.1,72.5,6,77.2,50.9,Advanced Topics
301,10.9,33.5,5,67.5,83.4,Basic Concepts
302,12.2,86.3,8,83.6,56.8,Advanced Topics
303,18.7,77.8,3,97.2,71.7,Advanced Topics
304,18.1,65.8,3,87.4,57.6,Intermediate Practice
305,14.9,78.4,8,81,61.1,Advanced Topics
306,15.6,55.3,1,83.1,64.2,Intermediate Practice
307,21.4,71.1,9,98.3,82.8,Advanced Topics
308,12,81.9,1,92,64.6,Advanced Topics
309,17.7,23.6,8,84.6,89.4,Basic Concepts
310,14,63.3,6,94.3,53.4,Intermediate Practice
311,13.9,69.7,4,92.9,79.9,Intermediate Practice
312,20.5,67.1,4,76.1,71.2,Intermediate Practice
313,19.1,91.9,8,81.5,49.5,Advanced Topics
314,19.1,53.1,9,99.2,59.2,Intermediate Practice
315,21.5,60.7,4,91.8,66.2,Intermediate Practice
316,15.1,41.3,8,100,86.6,Basic Concepts
317,18.4,92.7,7,91,66.1,Advanced Topics
318,13.4,66.3,5,77.9,99,Intermediate Practice
319,16.6,63.4,4,84.8,63.2,Intermediate Practice
320,14.3,69.2,4,92.9,69.5,Intermediate Practice
321,15.5,79.5,4,84.9,87.8,Advanced Topics
322,18,75.2,0,85.6,49.1,Advanced Topics
323,10.9,100,4,100,86,Advanced Topics
324,25.5,76.8,2,82.6,58.2,Advanced Topics
325,10,63,5,88.2,64.5,Intermediate Practice
326,8.9,61.6,8,87.6,71.8,Time Management & Practice
327,20.8,64.1,2,94.1,55.9,Intermediate Practice
328,19,47.5,0,87.6,100,Basic Concepts
329,18.1,70.6,7,86.3,71.3,Advanced Topics
330,18.1,81.8,8,100,70.1,Advanced Topics
331,14.9,60.8,9,84,59.2,Intermediate Practice
332,10.5,57.9,3,92.3,47.9,Intermediate Practice
333,15.4,92.7,9,72.1,85,Advanced Topics
334,11.6,48.6,4,85,63.9,Basic Concepts
335,19.9,39,2,84,73,Basic Concepts
336,14.3,52.7,7,84.3,53.4,Intermediate Practice
337,10.9,46.9,2,67.8,80.2,Basic Concepts
338,13.4,75.8,3,81.5,63.3,Advanced Topics
339,17.1,64.6,9,76.3,43.2,Intermediate Practice
340,12.2,66.7,6,95.9,63.7,Intermediate Practice
341,10.9,87.3,1,76.3,79.7,Advanced Topics
342,16.2,59.6,0,91.3,76.8,Intermediate Practice
343,16.2,81.6,3,91.8,73.8,Advanced Topics
344,12.5,92.7,7,79,67.5,Advanced Topics
345,12.6,63.2,0,76.5,68.6,Intermediate Practice
346,16.2,81.1,9,82.2,59.7,Advanced Topics
347,7.8,66.4,2,81,85.4,Time Management & Practice
348,8,83.9,3,75.2,67.2,Advanced Topics
349,11.4,46.4,3,82,60.1,Basic Concepts
350,13.9,45.3,2,88.1,94.9,Basic Concepts
351,16.6,64.1,2,73.1,86.6,Intermediate Practice
352,22.4,56.7,6,83,69.5,Intermediate Practice
353,19.3,62.2,7,79.7,62.7,Intermediate Practice
354,14.2,66.7,9,85.9,63.2,Intermediate Practice
355,14.9,80.8,3,100,53.6,Advanced Topics
356,10,63.9,7,69.8,82.3,Intermediate Practice
357,14.9,57.6,7,83.9,95.6,Intermediate Practice
358,13.6,64.7,5,87.8,76.6,Intermediate Practice
359,16.6,58.5,0,79.9,91.3,Intermediate Practice
360,10.9,56,6,88.7,80.9,Intermediate Practice
361,17.6,45.8,6,70.4,46,Basic Concepts
362,22.7,71,4,81.5,90,Advanced Topics
363,14.5,61.5,5,58.3,64.6,Intermediate Practice
364,17,84.5,8,82.6,71.3,Advanced Topics
365,18.5,48.3,2,72.7,54.4,Basic Concepts
366,13,61.9,3,88.1,41.7,Intermediate Practice
367,16.1,97.2,8,99.1,58.7,Advanced Topics
368,15.1,55.9,9,87.8,72.1,Intermediate Practice
369,15.5,66.5,1,84.3,69.9,Intermediate Practice
370,11.1,51.8,8,79.8,80,Intermediate Practice
371,15.1,49.8,4,82.2,72.4,Basic Concepts
372,17.5,93.2,2,82.4,70.3,Advanced Topics
373,22.3,72.6,7,85.2,59.8,Advanced Topics
374,19.8,72,8,89.8,98.4,Advanced Topics
375,25.8,44.6,0,77.3,97.5,Basic Concepts
376,11.2,75.4,4,96.5,72,Advanced Topics
377,19.4,87.4,8,82.9,47.2,Advanced Topics
378,15.9,87.2,1,85.1,73.5,Advanced Topics
379,25.9,80,0,97.9,49.1,Advanced Topics
380,11,53.1,7,63.7,47,Intermediate Practice
381,10.8,74.7,5,59.5,83,Advanced Topics
382,12,80,1,88.9,55.2,Advanced Topics
383,4.4,43.1,2,85.1,60.6,Basic Concepts
384,12.4,53.2,4,99.9,81.8,Intermediate Practice
385,11.2,83.3,0,73.7,75.1,Advanced Topics
386,15.8,83.1,1,89.9,78.5,Advanced Topics
387,16.7,46.8,0,81.4,95,Basic Concepts
388,24.4,81.9,6,94.5,60,Advanced Topics
389,19.8,71.4,6,63.1,73.1,Advanced Topics
390,12.1,81.7,9,82.4,90.5,Advanced Topics
391,10.5,60.5,4,92.3,54.2,Intermediate Practice
392,17.5,79.7,9,77.1,66,Advanced Topics
393,8.4,82.7,5,84.5,81,Advanced Topics
394,24.2,64.7,2,85.5,49.5,Intermediate Practice
395,20.9,70.3,1,88.4,71.5,Advanced Topics
396,12.7,60.3,9,74.1,63.7,Intermediate Practice
397,6.4,94.8,8,80.2,54.4,Advanced Topics
398,21.8,68.2,1,89.9,86,Intermediate Practice
399,14.4,56.2,0,92.4,81.8,Intermediate Practice
400,21.2,59.3,8,86.7,76,Intermediate Practice
401,7,71.9,7,81.6,78.6,Advanced Topics
402,12,81.3,7,85.9,62,Advanced Topics
403,15,50,6,93.4,68.8,Intermediate Practice
404,15.2,97.7,8,87,55.7,Advanced Topics
405,12.7,74.6,2,73.2,79.6,Advanced Topics
406,18.1,77,7,73.8,54.4,Advanced Topics
407,9.7,68.5,0,85.4,60.5,Time Management & Practice
408,14.3,70.3,0,68.4,52.7,Advanced Topics
409,15.6,67.8,5,92.9,71.3,Intermediate Practice
410,17.6,85.3,7,75.7,64.1,Advanced Topics
411,18.6,69.9,7,73.4,74,Intermediate Practice
412,9.4,81.5,9,100,58.1,Advanced Topics
413,7.3,63.5,0,79.9,56.7,Time Management & Practice
414,21.4,72.9,0,87.8,74.6,Advanced Topics
415,16.7,57.9,8,91,66,Intermediate Practice
416,11.3,88.2,8,99.5,100,Advanced Topics
417,22.8,57.5,6,79.1,77.8,Intermediate Practice
418,15.6,65.1,0,86.8,70.1,Intermediate Practice
419,20.9,65.3,9,83.8,87.5,Intermediate Practice
420,15.3,64.7,1,100,83,Intermediate Practice
421,25.3,80.8,7,64.8,70.8,Advanced Topics
422,23.8,65.3,7,83.4,100,Intermediate Practice
423,13.8,90.9,4,84.8,85.3,Advanced Topics
424,19.9,57.7,1,83.9,51.3,Intermediate Practice
425,18.2,72.5,2,70.6,63,Advanced Topics
426,21.8,58.4,4,66.5,41.1,Intermediate Practice
427,10.2,76.3,2,69.6,46,Advanced Topics
428,18.4,69.8,9,93.6,100,Intermediate Practice
429,20.3,67.7,0,84.8,88.3,Intermediate Practice
430,6.2,87.8,5,67.4,42.7,Advanced Topics
431,9.1,60.2,4,99.3,67.9,Time Management & Practice
432,4.8,78.8,2,100,62.7,Advanced Topics
433,13.7,58.5,8,88,100,Intermediate Practice
434,18.6,71.7,9,89.3,32.7,Advanced Topics
435,22.5,52.1,7,85.9,58.5,Intermediate Practice
436,15.4,60.1,6,78.7,58.6,Intermediate Practice
437,23.1,68.8,1,66.7,57.3,Intermediate Practice
438,8.1,97.2,9,74.2,71.9,Advanced Topics
439,6.5,71.5,4,84.5,81.3,Advanced Topics
440,14.7,94.8,4,90.8,60.2,Advanced Topics
441,16.9,73.3,5,82.7,66.8,Advanced Topics
442,14.8,64.2,5,84.1,53.7,Intermediate Practice
443,4.7,93.1,2,85.4,54.9,Advanced Topics
444,14.6,76.6,3,86.1,74.2,Advanced Topics
445,8.5,60.4,0,79.1,76.7,Time Management & Practice
446,18.3,77.1,0,89.1,40.3,Advanced Topics
447,16.8,65.6,4,73.9,57.1,Intermediate Practice
448,10.3,40.2,3,88.1,63.2,Basic Concepts
449,12.4,84,6,69.8,62.2,Advanced Topics
450,9.7,86.4,6,73.1,64,Advanced Topics
451,14.7,97.6,3,77.8,30.4,Advanced Topics
452,19.8,76.3,9,86.9,84.1,Advanced Topics
453,10.1,66.3,1,87.4,66.8,Intermediate Practice
454,17.5,82.5,9,76.5,100,Advanced Topics
455,12.3,82.7,3,70.8,77.4,Advanced Topics
456,11,94.6,7,97.1,73.7,Advanced Topics
457,14.5,69.3,1,85.7,55.1,Intermediate Practice
458,9.8,67.5,4,83.6,59.3,Time Management & Practice
459,12.2,59.3,6,88.6,80,Intermediate Practice
460,9,78.1,9,75.5,63.9,Advanced Topics
461,24.8,46.8,5,95.7,57.6,Basic Concepts
462,15.2,81.6,8,90.8,96.3,Advanced Topics
463,11.5,78.8,1,82.2,73.6,Advanced Topics
464,16.1,78.8,3,84.4,79.9,Advanced Topics
465,14.4,72.1,6,82.6,63.4,Advanced Topics
466,13.9,93,7,98.3,86.3,Advanced Topics
467,18.1,83.1,4,89.3,60,Advanced Topics
468,18.8,60.9,4,90.4,85.9,Intermediate Practice
469,12.3,61.2,3,85.7,61.3,Intermediate Practice
470,12.1,56.8,8,85,92.5,Intermediate Practice
471,13.6,78.3,9,100,87.7,Advanced Topics
472,3.5,55,3,81.4,61.7,Time Management & Practice
473,7.4,86.3,2,87.2,100,Advanced Topics
474,21.8,89.8,8,100,70.2,Advanced Topics
475,23.2,56.8,6,98.3,93.9,Intermediate Practice
476,13.8,67.2,8,88.8,51.2,Intermediate Practice
477,17.9,70.2,3,69.9,78.6,Advanced Topics
478,16.6,83.3,2,100,74,Advanced Topics
479,30.4,94.1,9,82.6,62.2,Advanced Topics
480,20.6,44.7,7,85.8,82.5,Basic Concepts
481,14.4,65.2,3,95.3,87.6,Intermediate Practice
482,10.2,66,9,82.9,76.1,Intermediate Practice
483,7,49,2,87.1,73.9,Basic Concepts
484,16,62.7,3,85.6,72,Intermediate Practice
485,11.2,76.4,1,81.4,75.9,Advanced Topics
486,7.9,65.8,3,88.5,80,Time Management & Practice
487,11.8,46.8,6,78.7,79.3,Basic Concepts
488,9.6,100,2,73.6,77.1,Advanced Topics
489,23.4,74,0,90.4,61.4,Advanced Topics
490,19.4,71.7,9,97.5,83.2,Advanced Topics
491,15,53.5,7,77.6,76.7,Intermediate Practice
492,22.4,73.9,5,79.7,73.9,Advanced Topics
493,15.4,67.5,2,85,64.7,Intermediate Practice
494,10.7,41.7,7,85.1,82.9,Basic Concepts
495,22.6,53.9,5,65.3,37.4,Intermediate Practice
496,17.7,81.9,0,80.8,67.2,Advanced Topics
497,9.8,99.2,8,100,62.2,Advanced Topics
498,14,75.5,8,99,60.9,Advanced Topics
499,10.6,86.5,8,100,64.1,Advanced Topics
500,8.1,67.7,5,91.2,52.5,Time Management & Practice
501,19.6,68.7,5,79.7,62.8,Intermediate Practice
502,24.5,86.4,3,87.6,50.4,Advanced Topics
503,8,94.9,7,91,74.2,Advanced Topics
504,17.8,89.5,8,81.7,82.1,Advanced Topics
505,11.7,54,6,67.8,83.8,Intermediate Practice
506,12.6,69,6,94.1,76.2,Intermediate Practice
